comprimé;0;MEDROL 100 mg, comprimé
comprimé;0;FENOFIBRATE TEVA 145 mg, comprimé
comprimé sécable;0;GLIBENCLAMIDE BIOGARAN 5 mg, comprimé sécable
poudre pour usage parentéral;0;HOLOXAN 2000 mg, poudre pour usage parentéral
comprimé pelliculé sécable;0;FLUVOXAMINE SANDOZ 100 mg, comprimé pelliculé sécable
solution injectable;0;DOXORUBICINE TEVA 50 mg/25 ml, solution injectable
comprimé pelliculé sécable;0;RISPERIDONE RANBAXY 4 mg, comprimé pelliculé sécable
comprimé pelliculé et  comprimé pelliculé;0;XARELTO 15 mg + 20 mg, comprimé pelliculé
poudre pour solution injectable;2;CLAVULANIQUE (ACIDE);TICARCILLINE BASE;CLAVENTIN 5 g/200 mg, poudre pour solution injectable (I.V.)
gélule gastro-résistant(e);0;LANSOPRAZOLE LICONSA 30 mg, gélule gastro-résistante
 comprimé et solution(s) et granules et poudre et pommade;0;CYNARA SCOLYMUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
dispositif;0;FEMSEPT 100 microgrammes/24 heures, dispositif transdermique
comprimé enrobé et  comprimé enrobé et  comprimé enrobé;0;EVANECIA, comprimé enrobé
comprimé pelliculé;1;ENTÉCAVIR;ENTECAVIR BIOGARAN 1 mg, comprimé pelliculé
solution injectable;0;ERELZI 50 mg, solution injectable en seringue préremplie
solution buvable;0;BRONCHOKOD SANS SUCRE ENFANTS 2 POUR CENT, solution buvable édulcorée à la saccharine sodique
comprimé pelliculé;0;LOSARTAN CRISTERS 100 mg, comprimé pelliculé
comprimé;1;DOXYCYCLINE BASE;DOXYPALU 100 mg, comprimé
comprimé;1;RILMÉNIDINE;RILMENIDINE ACTAVIS 1 mg, comprimé
comprimé pelliculé;0;TRAMADOL/PARACETAMOL ZYDUS 37,5 mg/325 mg, comprimé pelliculé
solution pour hémodialyse pour hémodialyse et  solution pour hémodialyse pour hémodialyse;1;GLUCOSE ANHYDRE;MULTIBIC 2 mmol/l POTASSIUM, solution pour hémodialyse/hémofiltration
pommade;0;TOBREX 0,3 %, pommade ophtalmique
solution pour perfusion;0;CIFLOX 400 mg/200 mL, solution pour perfusion (IV)
comprimé;0;SPEDIFEN 200 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;0;MAGNESIUM METALLICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;1;LISINOPRIL ANHYDRE;LISINOPRIL/HYDROCHLOROTHIAZIDE ZYDUS 20 mg/12,5 mg, comprimé sécable
comprimé pelliculé;1;GALANTAMINE;REMINYL 8 mg, comprimé pelliculé
gel;0;GELISTROL 50 microgrammes/g, gel vaginal
comprimé pelliculé sécable;1;LOSARTAN;LOSARTAN SANDOZ 50 mg, comprimé pelliculé sécable
comprimé enrobé;0;ODDIBIL 250 mg, comprimé enrobé
comprimé;0;VOTUBIA 10 mg, comprimé
comprimé;1;RILMÉNIDINE;RILMENIDINE SANDOZ 1 mg, comprimé
gélule gastro-résistant(e);0;OMEPRAZOLE BOUCHARA-RECORDATI 20 mg, gélule gastro-résistante
solution injectable;1;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE;BUPIVACAINE AGUETTANT 5 mg/ml, solution injectable
poudre pour solution injectable;0;ERWINASE 10000 UI/flacon, poudre pour solution pour injection
comprimé pelliculé;1;CINACALCET;MIMPARA 30 mg, comprimé pelliculé
comprimé pelliculé;1;IMATINIB;GLIVEC 100 mg, comprimé pelliculé
capsule molle;0;PROGESTERONE SANDOZ 100 mg, capsule molle ou capsule molle vaginale
poudre et  solvant pour solution injectable;0;GONADOTROPHINE CHORIONIQUE ENDO 1500 Ul/1 ml, poudre et solvant pour solution injectable
crème;0;RETACNYL 0,025 POUR CENT, crème
comprimé pelliculé;0;VERAPAMIL SANDOZ 120 mg, comprimé pelliculé
solution pour perfusion;0;EPTIFIBATIDE ACCORD 0,75 mg/ml, solution pour perfusion
gel;0;FLUOCAL 11,9 mg/g, gel dentaire
gélule;1;TACROLIMUS ANHYDRE;ADOPORT 2 mg, gélule
comprimé sécable;0;SOTALOL ARROW 160 mg, comprimé sécable
comprimé;0;TRIMEBUTINE ARROW 200 mg, comprimé
comprimé sécable;0;RAMIPRIL EVOLUGEN 10 mg, comprimé sécable
solution injectable;0;SOLIAN 200 mg/4 ml, solution injectable
gel pour application;0;IBUTOP 5 POUR CENT, gel pour application cutanée
dispositif;0;NITRIDERM TTS 15 mg/24 h, dispositif transdermique
comprimé pelliculé sécable;0;BISOPROLOL SANDOZ 2,5 mg, comprimé pelliculé sécable
granulés;0;PULSATILLA FERRIER, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé effervescent(e);6;CALCIUM ÉLÉMENT;MAGNÉSIUM;RIBOFLAVINE;ZINC;CHLORHYDRATE DE THIAMINE;ACIDE PANTOTHÉNIQUE;BEROCCA SANS SUCRE, comprimé effervescent édulcoré à l'aspartam et à l'acésulfame de potassium
comprimé;1;RUXOLITINIB;JAKAVI 20 mg, comprimé
solution buvable;1;LACTULOSE;LACTULOSE MYLAN 10 g/15 ml, solution buvable en sachet
comprimé;0;SERC 8 mg, comprimé
pommade;0;RIFAMYCINE CHIBRET 1 000 000 UI/100 g, pommade ophtalmique
comprimé pelliculé;1;IVABRADINE;IVABRADINE EG 5 mg, comprimé pelliculé
solution injectable;1;VINORELBINE;NAVELBINE 50 mg/5 ml, solution injectable en flacon
comprimé;0;PERINDOPRIL RANBAXY 8 mg, comprimé
comprimé;0;GLIMEPIRIDE ACTAVIS 3 mg, comprimé
solution injectable;0;INNOHEP 18 000 UI anti-Xa/0,9 ml, solution injectable en seringue préremplie
gel;0;ARNICA DU SAINT-BERNARD, gel
émulsion pour perfusion;0;INTRALIPIDE 20 POUR CENT, émulsion pour perfusion
gélule;0;FLUCONAZOLE CRISTERS 200 mg, gélule
comprimé pelliculé;0;ETHINYLESTRADIOL/DROSPIRENONE SANDOZ 0,02 mg/3 mg, comprimé pelliculé
comprimé pelliculé;0;CAPECITABINE ACCORD 150 mg, comprimé pelliculé
gélule gastro-résistant(e);0;EURELIX 6 mg, gélule gastro-résistante
comprimé pelliculé;1;ATORVASTATINE;ATORVASTATINE RPG 10 mg, comprimé pelliculé
comprimé enrobé à croquer;1;CALCIUM ÉLÉMENT;CALPRIMUM 500 mg, comprimé enrobé à croquer
émulsion pour application;1;TACALCITOL;APSOR 4 microgrammes/g, émulsion pour application cutanée
comprimé sécable;0;CANDESARTAN ZYDUS 32 mg, comprimé sécable
comprimé;1;PRAMIPEXOLE BASE;PRAMIPEXOLE MYLAN 0,7 mg, comprimé
poudre et  solvant pour solution injectable;1;CEFTRIAXONE BASE;CEFTRIAXONE GNR 500 mg/2 ml, poudre et solvant pour solution injectable (IM, SC)
comprimé pelliculé;0;TRAMADOL/PARACETAMOL SANDOZ 37,5 mg/325 mg, comprimé pelliculé
comprimé pelliculé;0;SIMVASTATINE BLUEFISH PHARMACEUTICAL AB 40 mg, comprimé pelliculé
solution à diluer pour perfusion;0;CHLORURE DE POTASSIUM PROAMP 0,10 g/ml, solution à diluer pour perfusion
comprimé pelliculé;0;TOPIRAMATE ARROW 200 mg, comprimé pelliculé
comprimé;2;COBALT;MANGANÈSE;OLIGOSTIM MANGANESE COBALT, comprimé
solution pour bain de bouche;1;DIGLUCONATE DE CHLORHEXIDINE;PREXIDINE 0,12 POUR CENT, solution pour bain de bouche
comprimé pelliculé;1;CIPROFLOXACINE;CIPROFLOXACINE RANBAXY 250 mg, comprimé pelliculé
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AUGMENTIN 1 g/125 mg, poudre pour suspension buvable en sachet-dose (Rapport amoxicilline/acide clavulanique : 8/1)
comprimé pelliculé sécable;0;NALTREXONE MYLAN 50 mg, comprimé pelliculé sécable
solution pour perfusion;0;BICARBONATE DE SODIUM 1,4 % B.BRAUN, solution pour perfusion
comprimé pelliculé sécable;0;SPIRONOLACTONE SANDOZ 75 mg, comprimé pelliculé sécable
émulsion injectable;0;PROPOFOL PANPHARMA 10 mg/ml, émulsion injectable
gélule gastro-résistant(e);0;MOPRAL 20 mg, gélule gastro-résistante
collyre en solution;2;DORZOLAMIDE;TIMOLOL BASE;DUALKOPT 20 mg/ml + 5 mg/ml, collyre en solution
comprimé pelliculé sécable;0;LOGROTON, comprimé pelliculé sécable
solution buvable;1;ABACAVIR BASE;ZIAGEN 20 mg/ml, solution buvable
poudre;0;IMPORTAL JEUNES ENFANTS 2,5 g, poudre orale en sachet
comprimé pelliculé;1;VENLAFAXINE;Venlafaxine Mylan 50 mg, comprimé pelliculé
comprimé enrobé;0;GESTODENE/ETHINYLESTRADIOL ZENTIVA 75 microgrammes/20 microgrammes, comprimé enrobé
crème;0;CLARELUX 500 microgrammes/g, crème
émulsion pour application;0;ASCABIOL 10 %, émulsion pour application cutanée
suspension injectable;0;HEXATRIONE 2 POUR CENT, suspension injectable (intra-articulaire)
comprimé orodispersible;0;RISPERIDONE EG 0,5 mg, comprimé orodispersible
solution injectable;0;DROPERIDOL ARROW 2,5 mg/1 ml, solution injectable (IV)
gélule;0;ZAVEDOS 10 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;CALENDULA OFFICINALIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
 comprimé et solution(s) et granules et poudre et pommade;0;ALETRIS FARINOSA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé;0;REPAGLINIDE ARROW LAB 1 mg, comprimé
comprimé à libération prolongée;0;ALFUZOSINE ZYDUS L.P. 10 mg, comprimé à libération prolongée
solution buvable en gouttes;1;ALIMÉMAZINE;THERALENE 4 POUR CENT, solution buvable en gouttes
solution buvable ou;1;LITHIUM;LITHIUM OLIGOSOL, solution buvable en ampoule ou en récipient unidose
poudre pour application;0;AMYCOR 1 POUR CENT, poudre pour application locale en flacon poudreur
comprimé pelliculé;1;ROPINIROLE;ROPINIROLE TEVA 2 mg, comprimé pelliculé
solution à diluer pour perfusion;0;CHLORURE DE POTASSIUM PROAMP 0,15 g/ml, solution à diluer pour perfusion
gélule;1;RIVASTIGMINE;RIVASTIGMINE ARROW 6 mg, gélule
comprimé enrobé;0;PLENESIA NERVOSITE, comprimé enrobé
comprimé pelliculé sécable;0;CLOMIPRAMINE MYLAN 75 mg, comprimé pelliculé sécable
comprimé pelliculé et  comprimé pelliculé;0;GESTODENE/ETHINYLESTRADIOL EG 60 microgrammes/15 microgrammes, comprimé pelliculé
collyre en solution;0;UNIFLUID 6 mg/ 0,4 ml, collyre en solution en récipient unidose
solution et  solution pour perfusion;3;GLUCOSE ANHYDRE;LYSINE;CYSTÉINE;PEDIAVEN AP-HP G25, solution pour perfusion
solution à diluer pour perfusion;1;GEMCITABINE;GEMCITABINE HOSPIRA 38 mg/ml, solution à diluer pour perfusion
gélule;0;PREGABALINE PFIZER 150 mg, gélule
poudre et  solvant pour solution injectable;1;CEFTRIAXONE BASE;CEFTRIAXONE TEVA SANTE 1 g/3,5 mL, poudre et solvant pour solution injectable (IM)
comprimé;0;FENOFIBRATE ACTAVIS 160 mg, comprimé
gélule;1;INDINAVIR BASE;CRIXIVAN 200 mg, gélule
poudre et  solvant pour solution injectable;0;VIRAFERONPEG 150 microgrammes, poudre et solvant pour solution injectable en stylo prérempli
solution à diluer pour perfusion;0;ELOXATINE 5 mg/ml, solution à diluer pour perfusion
comprimé;0;TELMISARTAN/HYDROCHLOROTHIAZIDE ZYDUS 40 mg/12,5 mg, comprimé
comprimé;0;ACTIFED RHUME, comprimé
gélule;0;PREGABALINE EG 300 mg, gélule
comprimé pelliculé;0;ANASTROZOLE ARROW 1 mg, comprimé pelliculé
solution injectable;0;PROGESTERONE RETARD PHARLON 500 mg/2 ml, solution injectable IM en ampoule
comprimé;0;SPECIAFOLDINE 5 mg, comprimé
comprimé pelliculé;1;SITAGLIPTINE;XELEVIA 100 mg, comprimé pelliculé
solution injectable;1;IODE;TELEBRIX 30 MEGLUMINE (300 mg l/mL), solution injectable
suppositoire;0;SUPPOSITOIRE A LA GLYCERINE CENTRAPHARM ENFANTS, suppositoire en vrac
comprimé pelliculé sécable;1;IVABRADINE;IVABRADINE KRKA 5 mg, comprimé pelliculé sécable
comprimé;0;RIMIFON 150 mg, comprimé
comprimé;0;PARACETAMOL/CAFEINE/CODEINE MYLAN 400 mg/50 mg/20 mg, comprimé
suppositoire;0;SUPPOSITOIRE A LA GLYCERINE GILBERT ENFANTS, suppositoire
poudre pour solution pour perfusion;2;PIPÉRACILLINE;TAZOBACTAM;PIPERACILLINE/TAZOBACTAM PANPHARMA 4 g/500 mg, poudre pour solution pour perfusion
gélule;0;PREGABALINE CRISTERS 300 mg, gélule
comprimé enrobé;0;OLANZAPINE ARROW GENERIQUES 10 mg, comprimé enrobé
gélule à libération modifiée;1;MÉTHYLPHÉNIDATE;MEDIKINET 40 mg, gélule à libération modifiée
suspension injectable;0;DEPO PRODASONE 500 mg, suspension injectable
dispositif;0;LISVY 60 microgrammes/24 heures + 13 microgrammes/24 heures, dispositif transdermique
comprimé enrobé et  comprimé enrobé;0;OPTINESSE 75 microgrammes/20 microgrammes, comprimé enrobé
comprimé dispersible;1;AMOXICILLINE ANHYDRE;AMOXICILLINE ZYDUS FRANCE 1 g, comprimé dispersible
 comprimé et solution(s) et granules et poudre et pommade;0;SANICULA EUROPAEA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
solution injectable;0;PUREGON 75 UI/0,5 ml, solution injectable
poudre pour solution injectable pour perfusion;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 1 g/200 mg ADULTES, poudre pour solution injectable / pour perfusion (IV)
comprimé pelliculé;0;IRBESARTAN ARROW LAB 75 mg, comprimé pelliculé
comprimé;1;SOUFRE;OLIGOSTIM SOUFRE, comprimé
capsule molle;1;LÉVOTHYROXINE SODIQUE ANHYDRE;TCAPS 175 microgrammes, capsule molle
solution buvable;0;SARGENOR A LA VITAMINE C, solution buvable en ampoule
solution à diluer pour perfusion;1;GEMCITABINE;GEMCITABINE MYLAN 40 mg/ml, solution à diluer pour perfusion
poudre pour solution à diluer pour perfusion;1;CASPOFUNGINE BASE;CASPOFUNGINE FRESENIUS KABI 50 mg, poudre pour solution à diluer pour perfusion
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 5 % LAVOISIER, solution pour perfusion
capsule molle;0;CELLTOP 25 mg, capsule molle
comprimé;0;GLIMEPIRIDE ZYDUS 2 mg, comprimé
comprimé pelliculé;0;TOPIRAMATE TEVA 50 mg, comprimé pelliculé
solution à diluer pour perfusion;1;DOCÉTAXEL ANHYDRE;TAXOTERE 20 mg/1 ml, solution à diluer pour perfusion
comprimé;0;CHLORMADINONE SANDOZ 10 mg, comprimé
poudre pour inhalation;0;INNOVAIR NEXTHALER 200 microgrammes/6 microgrammes par dose, poudre pour inhalation
solution et  solution pour colle;0;TISSEEL, solutions pour colle
comprimé pelliculé sécable;0;BISOPROLOL MYLAN 10 mg, comprimé pelliculé sécable
comprimé sécable;0;BISOPROLOL ALMUS 10 mg, comprimé sécable
crème;0;DIFFERINE 0,1 %, crème
comprimé pelliculé;0;DONEPEZIL EVOLUGEN 5 mg, comprimé pelliculé
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE TEVA SANTE 100 mg/12,50 mg par ml NOURRISSONS, poudre pour suspension buvable en flacon (Rapport amoxicilline/acide clavulanique: 8/1)
comprimé pelliculé à libération prolongée;0;TRAMADOL CRISTERS LP 200 mg, comprimé pelliculé à libération prolongée
comprimé pelliculé;1;LERCANIDIPINE;LERCANIDIPINE PHR LAB 20 mg, comprimé pelliculé sécable
comprimé pelliculé;1;IVABRADINE;IVABRADINE ZENTIVA 7,5 mg, comprimé pelliculé
gélule;0;CELECOXIB MYLAN PHARMA 200 mg, gélule
poudre pour inhalation;0;ASMELOR NOVOLIZER 12 microgrammes/dose, poudre pour inhalation
solution à diluer pour solution injectable pour perfusion;0;DOCETAXEL AMRING 20 mg/ml, solution à diluer pour solution injectable/pour perfusion
solution injectable;1;AMIKACINE;AMIKACINE MYLAN 50 mg/1 ml, ENFANTS ET NOURRISSONS, solution injectable
gélule à libération prolongée;0;KETOPROFENE MYLAN LP 200 mg, gélule à libération prolongée
comprimé pelliculé;0;LOSARTAN/HYDROCHLOROTHIAZIDE BIOGARAN 100 mg/12,5 mg, comprimé pelliculé
poudre pour solution injectable;1;MÉTHYLPREDNISOLONE;METHYLPREDNISOLONE MYLAN 500 mg, poudre pour solution injectable
gélule à libération prolongée;0;DILTIAZEM TEVA SANTE LP 200 mg, gélule à libération prolongée
 comprimé et solution(s) et granules et poudre et pommade;0;ANACARDIUM ORIENTALE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;0;GELUFENE 200 mg, gélule
comprimé pelliculé;1;BOSENTAN;BOSENTAN BIOGARAN 62,5 mg, comprimé pelliculé
comprimé pelliculé;1;CARBIDOPA ANHYDRE;STALEVO 125 mg/31,25 mg/200 mg, comprimé pelliculé
comprimé sécable;0;ENALAPRIL SANDOZ 20 mg, comprimé sécable
comprimé quadrisécable;0;BROMAZEPAM ZYDUS 6 mg, comprimé quadrisécable
comprimé pelliculé;0;BICALUTAMIDE EG 50 mg, comprimé pelliculé
ovule à libération prolongée;0;ECONAZOLE TEVA L.P. 150 mg, ovule à libération prolongée
comprimé sécable;0;SPIRONOLACTONE ZENTIVA 75 mg, comprimé sécable
solution injectable;0;APOKINON 30 mg/3 ml (1 %), solution injectable en stylo pré-rempli
comprimé pelliculé;0;IRBESARTAN PHR LAB 75 mg, comprimé pelliculé
comprimé;0;GLIMEPIRIDE CRISTERS 3 mg, comprimé
sirop;0;POLARAMINE 0,01 POUR CENT, sirop
granulés à libération prolongée;0;MICROPAKINE L.P. 250 mg, granulés à libération prolongée en sachet-dose
gélule;0;PREGABALINE ALTER 150 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;KALIUM CHLORICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé sécable;0;ENALAPRIL/HYDROCHLOROTHIAZIDE SANDOZ 20 mg/12,5 mg, comprimé sécable
comprimé gastro-résistant(e);1;ÉSOMÉPRAZOLE;ESOMEPRAZOLE EVOLUGEN 40 mg, comprimé gastro-résistant
comprimé pelliculé;1;METFORMINE BASE;METFORMINE MYLAN PHARMA 850 mg, comprimé pelliculé
comprimé pelliculé;1;CLOPIDOGREL;PLAVIX 75 mg, comprimé pelliculé
comprimé pelliculé;0;SPIRAMYCINE/METRONIDAZOLE SANDOZ 1,5 M.U.I./250 mg, comprimé pelliculé
poudre pour solution pour perfusion;1;OMÉPRAZOLE;OMEPRAZOLE MYLAN 40 mg, poudre pour solution pour perfusion
comprimé pelliculé;0;VALSARTAN/HYDROCHLOROTHIAZIDE ARROW LAB 160 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;0;BRILIQUE 90 mg, comprimé pelliculé
comprimé;1;TÉRAZOSINE BASE;TERAZOSINE BIOGARAN 5 mg, comprimé
gel;1;DICLOFÉNAC SODIQUE;VOLTARENACTIGO 2 % INTENSE, gel
solution à diluer pour perfusion;0;LEMTRADA 12 mg, solution à diluer pour perfusion
comprimé sécable;0;SOTALOL MYLAN 160 mg, comprimé sécable
solution injectable;0;NOVORAPID FLEXPEN 100 unités/ml, solution injectable en stylo prérempli
comprimé sécable;1;CHLORHYDRATE D'AMILORIDE ANHYDRE;MODURETIC, comprimé sécable
comprimé dispersible orodispersible;0;PHLOROGLUCINOL SANDOZ 80 mg, comprimé orodispersible
comprimé pelliculé sécable;1;LÉVOFLOXACINE;LEVOFLOXACINE MYLAN 500 mg, comprimé pelliculé sécable
gelée;0;TRANSITOL, gelée orale en pot
comprimé pelliculé sécable à libération prolongée;0;VERAPAMIL SANDOZ L.P. 240 mg, comprimé pelliculé sécable à libération prolongée
solution injectable;0;MIDAZOLAM SANDOZ 1 mg/ml, solution injectable
comprimé;0;GYNERGENE CAFEINE, comprimé
poudre pour solution pour perfusion;0;ZECLAR 0,5 g, poudre pour solution pour perfusion
poudre et  solvant pour suspension injectable;0;EXTENCILLINE 2,4 MUI, poudre et solvant pour suspension injectable IM
gélule;1;CLOXACILLINE;CLOXACILLINE BIOGARAN 500 mg, gélule
comprimé enrobé;0;MINERVA 35 microgrammes, comprimé enrobé
solution pour perfusion;1;GLUCOSE ANHYDRE;GLUCOSE 2,5 % VIAFLO, solution pour perfusion
solution pour pulvérisation;0;DESOMEDINE 0,1 POUR CENT, solution pour pulvérisations nasales en flacon
solution injectable;0;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule
poudre pour solution injectable;1;VANCOMYCINE BASE;VANCOMYCINE KABI 500 mg, poudre pour solution injectable
poudre pour suspension buvable;2;CLAVULANIQUE (ACIDE);AMOXICILLINE ANHYDRE;AMOXICILLINE/ACIDE CLAVULANIQUE GSK 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique : 8/1)
comprimé pelliculé;1;SILDÉNAFIL;SILDENAFIL ACTAVIS 100 mg, comprimé
pastille;0;HUMEX MAL DE GORGE LIDOCAINE/ALCOOL DICHLOROBENZYLIQUE/AMYLMETACRESOL 2 mg/1,2 mg/0,6 mg MENTHE GLACIALE SANS SUCRE, pastille édulcorée à la saccharine sodique, au maltitol et à l'isomalt
comprimé sécable;0;XANAX 0,50 mg, comprimé sécable
solution buvable;1;MANGANÈSE;GRANIONS DE MANGANESE 0,1 mg/2 ml, solution buvable en ampoule
comprimé pelliculé;0;BISOCE 1,25 mg, comprimé pelliculé
comprimé quadrisécable;1;NÉBIVOLOL BASE;NEBIVOLOL TEVA SANTE 5 mg, comprimé quadrisécable
comprimé sécable;0;RAMIPRIL RANBAXY 2,5 mg, comprimé sécable
solution pour pulvérisation;1;FENTANYL;INSTANYL 100 microgrammes/dose, solution pour pulvérisation nasale
poudre pour solution injectable;1;AMOXICILLINE ANHYDRE;AMOXICILLINE PANPHARMA 1 g, poudre pour solution injectable
gélule;1;LOPÉRAMIDE BASE;LOPERAMIDE MYLAN PHARMA 2 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;0;AESCULUS HIPPOCASTANUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;0;VINCARUTINE, gélule
comprimé pelliculé;1;IVABRADINE;IVABRADINE TEVA SANTE 7,5 mg, comprimé pelliculé
comprimé;0;MYCOHYDRALIN 200 mg, comprimé vaginal
lyophilisat;0;VOGALIB 7,5 mg SANS SUCRE, lyophilisat oral édulcoré à l'aspartam
comprimé à libération prolongée;1;QUÉTIAPINE;QUETIAPINE SANDOZ LP 50 mg, comprimé à libération prolongée
gélule à libération prolongée;1;GALANTAMINE;GALANTAMINE MYLAN LP 24 mg, gélule à libération prolongée
