1;PÉRINDOPRIL|1,669  mg;PERINDOPRIL KRKA 2 mg, comprimé
0;PASSEDYL ENFANTS ET NOURRISSONS, sirop
0;HYDROXYZINE EG 25 mg, comprimé pelliculé sécable
0;RILUZOLE SANDOZ 50 mg, comprimé pelliculé
1;RIZATRIPTAN|10 mg;RIZATRIPTAN BIOGARAN 10 mg, comprimé orodispersible
0;MIFFEE 200 mg, comprimé
0;TEMOZOLOMIDE TEVA 100 mg, gélule
0;OPTREX, solution pour lavage oculaire
1;SAFINAMIDE|50 mg;XADAGO 50 mg, comprimé pelliculé
1;OTÉRACIL|11,8 mg;TEYSUNO 15 mg/4,35 mg/11,8 mg, gélule
0;REPAGLINIDE RANBAXY 0,5 mg, comprimé
1;LERCANIDIPINE|18,8 mg;LERCANIDIPINE TEVA SANTE 20 mg, comprimé pelliculé sécable
0;PREDNISONE MYLAN 1 mg, comprimé
0;LANSOPRAZOLE ARROW 15 mg, comprimé orodispersible
0;RAMIPRIL ZYDUS FRANCE 2,5 mg, comprimé sécable
1;GLYCOPYRRONIUM|9 microgrammes;TRIMBOW 87 microgrammes/5 microgrammes/9 microgrammes, solution pour inhalation en flacon pressurisé
1;SALBUTAMOL|90 microgrammes;ASMASAL CLICKHALER 90 microgrammes/dose, poudre pour inhalation
0;FOSINOPRIL MYLAN 10 mg, comprimé sécable
0;ACTAEA SPICATA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;SYLVIANE, comprimé pelliculé
1;PALONOSÉTRON BASE|250 microgrammes;PALONOSETRON ACCORD 250 microgrammes, solution injectable
0;OXCARBAZEPINE SANDOZ 600 mg, comprimé pelliculé
0;FARLUTAL 500 mg, comprimé
0;ECONAZOLE TEVA 1 POUR CENT, crème
1;MITOXANTRONE BASE|20 mg;NOVANTRONE 20 mg/10 ml, solution à diluer pour perfusion
0;RAMIPRIL TORRENT 10 mg, comprimé sécable
1;AMOXICILLINE ANHYDRE|125,00 mg;AMOXICILLINE SANDOZ 125 mg/5 ml, poudre pour suspension buvable
0;DUROGESIC 75 microgrammes/heure, dispositif transdermique
0;KEVZARA 150 mg, solution injectable en seringue préremplie
0;VICKS EXPECTORANT GUAIFENESINE 1,33 % ADULTES MIEL, sirop
0;DILTIAZEM MYLAN LP 300 mg, gélule à libération prolongée
0;DICYNONE 250 mg/2 ml, solution injectable
1;RIVASTIGMINE|6 mg;RIVASTIGMINE ACTAVIS 6 mg, gélule
1;ÉRYTHROMYCINE BASE|500 mg;ERYTHROMYCINE PANPHARMA 500 mg, poudre pour solution à diluer pour perfusion
0;CITRATE DE BETAINE ARROW 1,89 g, comprimé effervescent
1;NICOTINE|1,5 mg;NICOPASS 1,5 mg SANS SUCRE REGLISSE MENTHE, pastille édulcorée à l'aspartam et à l'acésulfame potassique
1;CHLORHYDRATE DE BUPIVACAÏNE ANHYDRE|2,50 mg;BUPIVACAINE AGUETTANT 2,5 mg/ml, solution injectable
0;OLANZAPINE RATIOPHARM 10 mg, comprimé orodispersible
0;FENOFIBRATE CRISTERS 160 mg, comprimé
0;IBUPROFENE ISOMED 200 mg, comprimé enrobé
1;IRBÉSARTAN|300 mg;IFIRMACOMBI 300 mg/12,5 mg, comprimé pelliculé
1;PÉRINDOPRIL|6,68 mg;PERINDOPRIL ISOMED 8 mg, comprimé
1;QUÉTIAPINE|300 mg;QUETIAPINE MYLAN PHARMA LP 300 mg, comprimé à libération prolongée
1;DOXYCYCLINE BASE|100 mg;VIBRAVEINEUSE, solution injectable pour voie IV et perfusion
1;CALCIUM ÉLÉMENT|600 mg;NATECAL VITAMINE D3 600 mg/400 U.I., comprimé à mâcher
0;NITRICUM ACIDUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;FUROSEMIDE ZYDUS 20 mg, comprimé
1;IRBÉSARTAN|300 mg;IFIRMASTA 300 mg, comprimé pelliculé
0;ARKOGELULES FRAGON, gélule
0;BETADINE ALCOOLIQUE 5 %, solution pour application cutanée
1;PAROXÉTINE BASE|20 mg;DEROXAT 20 mg/10 ml, suspension buvable
1;FENTANYL|100 microgrammes;FENTANYL PIRAMAL 100 microgrammes/2 ml, solution injectable en ampoule
1;DOLUTÉGRAVIR|50 mg;TIVICAY 50 mg, comprimé pelliculé
1;PANOBINOSTAT|10 mg;FARYDAK 10 mg, gélule
0;LETROZOLE CRISTERS 2,5 mg, comprimé pelliculé
0;TEICOPLANINE MYLAN 400 mg, poudre pour solution injectable/pour perfusion ou solution buvable
0;HUMEX ADULTES TOUX SECHE DEXTROMETHORPHANE SANS SUCRE 15 mg/5 ml, solution buvable en sachet édulcorée à la saccharine sodique
0;TRANDOLAPRIL BIOGARAN 4 mg, gélule
0;SPRAY PAX, solution pour pulvérisation cutanée
0;REGIOCIT, solution pour hémofiltration
1;PASIRÉOTIDE|0,3 mg;SIGNIFOR 0,3 mg, solution injectable
1;TRIPTORÉLINE|11,25 mg;DECAPEPTYL L.P. 11,25 mg, poudre et solvant pour suspension injectable (IM ou SC) forme à libération prolongée sur 3 mois
0;CRISTAL ADULTES, suppositoire
0;MIRTAZAPINE ARROW 15 mg, comprimé pelliculé
0;CUTERPES 1 POUR CENT, gel pour application locale
1;GEMCITABINE|1000 mg;GEMZAR 1000 mg, poudre pour solution pour perfusion
1;ACIDE RISÉDRONIQUE|32,5 mg;RISEDRONATE BLUEFISH 35 mg, comprimé pelliculé
1;ATORVASTATINE|20 mg;ATORVASTATINE BLUEFISH 20 mg, comprimé pelliculé
1;PÉRINDOPRIL|3,338 mg;PERINDOPRIL/INDAPAMIDE ARROW 4 mg/1,25 mg, comprimé
0;CALCAREA PICRATA BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;OMEPRAZOLE BOUCHARA RECORDATI 10 mg, gélule gastro-résistante
1;FLUOXÉTINE BASE|20 mg;FLUOXETINE CRISTERS 20 mg, comprimé dispersible sécable
0;ACICLOVIR EG 5 POUR CENT, crème
0;MYCOSEDERMYL 1 POUR CENT, crème
0;DRILL MIEL ROSAT, pastille à sucer
1;PÉRINDOPRIL|1,67 mg;PERINDOPRIL/INDAPAMIDE MYLAN 2 mg/0,625 mg, comprimé
0;CELSENTRI 150 mg, comprimé pelliculé
0;DESOGESTREL CRISTERS 75 microgrammes, comprimé pelliculé
0;TRITICUM REPENS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;CANDESARTAN/HYDROCHLOROTHIAZIDE MYLAN 8 mg/12,5 mg, comprimé
0;HYDROXYZINE RENAUDIN 100 mg /2 ml, solution injectable
0;DECONTRACTYL BAUME, pommade
0;CAUSTICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CYSTÉAMINE|3,8 mg;CYSTADROPS 3,8 mg/ml, collyre en solution
0;OMEPRAZOLE BIOGARAN 20 mg, gélule gastro-résistante
0;BERBERIS AQUIFOLIUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;CÉFUROXIME|250 mg;CEFUROXIME ZENTIVA 250 mg, comprimé enrobé
1;AMOXICILLINE ANHYDRE|1 g;AMOXICILLINE ALMUS 1 g, comprimé pelliculé dispersible
0;SALIX ALBA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;DERMAZOL 1 POUR CENT, émulsion fluide pour application locale
0;MYCOHYDRALIN 200 mg, comprimé vaginal
1;MANGANÈSE|0,027 mg;OLIGOSTIM MANGANESE, comprimé
0;VALSARTAN CRISTERS 160 mg, comprimé pelliculé sécable
1;LÉVOBUPIVACAÏNE|5 mg;CHIROCAÏNE 5 mg/ml, solution injectable ou solution à diluer pour perfusion
0;CIMZIA 200 mg, solution injectable en stylo prérempli
0;ECONAZOLE SANDOZ L.P. 150 mg, ovule à libération prolongée
0;IRBESARTAN/HYDROCHLOROTHIAZIDE EVOLUGEN 300 mg/25 mg, comprimé pelliculé
0;PENTOXIFYLLINE TEVA L.P. 400 mg, comprimé pelliculé à libération prolongée
1;FLUOXÉTINE BASE|20,00 mg;FLUOXETINE EG 20 mg, comprimé dispersible sécable
0;RESIKALI, poudre pour suspension orale/rectale
0;MIZOLLEN 10 mg, comprimé à libération modifiée
0;TELMISARTAN ZYDUS 80 mg, comprimé
0;ARIPIPRAZOLE TEVA 10 mg, comprimé orodispersible
0;MIANSERINE EG 60 mg, comprimé pelliculé sécable
1;MAGNÉSIUM|3,82 mg;GRANIONS DE MAGNESIUM 3,82 mg/2 ml, solution buvable
0;VANILONE INFANTILE 0,66 POUR CENT, granulé
0;SEREPROSTA 160 mg, gélule
0;ZOLMITRIPTAN ACTAVIS 2,5 mg, comprimé pelliculé
1;ROPINIROLE|4 mg;ROPINIROLE ARROW LP 4 mg, comprimé pelliculé à libération prolongée
1;METFORMINE BASE|662,9 mg;METFORMINE MYLAN PHARMA 850 mg, comprimé pelliculé
1;ASCORBIQUE (ACIDE)|250 mg;VITAMINE C UPSA 500 mg, comprimé à croquer
0;UROMITEXAN 1 g/10 mL, solution à diluer pour perfusion
1;METFORMINE BASE|780 mg;METFORMINE BIOGARAN 1000 mg, comprimé pelliculé
0;PERMIXON 160 mg, gélule
0;RISPERIDONE BIOGARAN 4 mg, comprimé pelliculé sécable
1;TERBINAFINE|250 mg;TERBINAFINE EG 250 mg, comprimé sécable
1;NICOTINE|2,0 mg;NICORETTE MICROTAB CITRON 2 mg, comprimé sublingual
1;VALACICLOVIR|500 mg;VALACICLOVIR EG 500 mg, comprimé pelliculé
1;BÊTA-ESTRADIOL|7,5 mg;DERMESTRIL SEPTEM 75 microgrammes/24 heures, dispositif transdermique
0;GLONOINUM WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
0;TORISEL 30 mg, solution à diluer et diluant pour solution pour perfusion
0;SPEDIFEN 400 mg, granulés pour solution buvable en sachet-dose
0;EDUCTYL ADULTES, suppositoire effervescent
0;ECONAZOLE EG 1 %, poudre pour application cutanée
0;AGRAPHIS NUTANS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;OXYGENE MEDICINAL LIQUIDE SOL FRANCE, gaz pour inhalation, en évaporateur mobile
0;PYRALVEX, gel buccal et gingival
0;RATIOGRASTIM 48 MUI/0,8 ml, solution injectable ou pour perfusion
0;BROMAZEPAM BIOGARAN 6 mg, comprimé quadrisécable
1;CHLORE ACTIF|0,06 g;AMUKINE 0,06 POUR CENT, solution pour application cutanée
1;GENTAMICINE|3000 UI;INDOBIOTIC, collyre en solution en récipient unidose
0;REVIA 50 mg, comprimé pelliculé sécable
0;VEINAMITOL 3500 mg, poudre pour solution buvable en sachet
0;LANSOYL FRAMBOISE, gel oral en pot
0;FASLODEX 250 mg, solution injectable
0;PARACETAMOL EG 1000 mg, comprimé effervescent sécable
0;ARKOGELULES HARPAGOPHYTON, gélule
0;BETAMETHASONE EG 0,05 POUR CENT, solution buvable en gouttes
0;OMEPRAZOLE ISOMED 20 mg, gélule gastro-résistante
0;AMIODARONE ZENTIVA 200 mg, comprimé sécable
0;TRIMEBUTINE TEVA SANTE 200 mg, comprimé pelliculé
0;LOCOID 0,1%, crème
0;RISPERIDONE ZYDUS 1 mg, comprimé pelliculé sécable
0;CAPTOPRIL/HYDROCHLOROTHIAZIDE ACTAVIS 50 mg/25 mg, comprimé sécable
1;FLUOXÉTINE BASE|20 mg;FLUOXETINE MYLAN 20 mg, comprimé dispersible sécable
3;AMLODIPINE|10 mg;ATORVASTATINE|40 mg;PÉRINDOPRIL|6,79 mg;TRIVERAM 40 mg/10 mg/10 mg, comprimé pelliculé
0;DEBRUMYL, solution buvable en ampoule
0;EPLERENONE PFIZER 50 mg, comprimé pelliculé
1;ROSUVASTATINE|10 mg;ROSUVASTATINE BIOGARAN 10 mg, comprimé pelliculé
1;GLUCOSE ANHYDRE|10 g;GLUCOSE 10 % BAXTER, solution pour perfusion
0;ZYTIGA 500 mg, comprimé
0;BENAZEPRIL EG 5 mg, comprimé pelliculé sécable
0;CHLORURE DE SODIUM 0,9 % MACOPHARMA, solution pour perfusion
0;MYCOPHENOLATE MOFETIL EG 250 mg, gélule
0;THAIS 25 microgrammes/24 heures, dispositif transdermique
0;LYRICA 150 mg, gélule
0;TRAMADOL ARROW L.P. 100 mg, gélule à libération prolongée
1;PAROXÉTINE BASE|20 mg;PAROXETINE MYLAN 20 mg, comprimé pelliculé sécable
0;ADCETRIS 50 mg, poudre pour solution à diluer pour perfusion
1;ROSUVASTATINE|5 mg;ROSUVASTATINE ARROW 5 mg, comprimé pelliculé
1;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE EG LABO 500 mg/5 mL, poudre pour suspension buvable
0;RAMIPRIL ALTER 2,5 mg, comprimé sécable
0;VALSARTAN RANBAXY 40 mg, comprimé pelliculé sécable
0;CYPROTERONE/ETHINYLESTRADIOL TEVA 2 mg/0,035 mg, comprimé enrobé
0;DEBRIDAT 100 mg, comprimé pelliculé
0;EBASTINE ZENTIVA 10 mg, comprimé orodispersible
0;EXEMESTANE CRISTERS 25 mg, comprimé pelliculé
0;FINASTERIDE TEVA 1 mg, comprimé pelliculé
0;FRAXIPARINE 3 800 U.I. Axa/0,4 ml, solution injectable (S.C.) en seringue pré-remplie
1;CISATRACURIUM|5 mg;CISATRACURIUM KABI 5 mg/ml, solution injectable/pour perfusion
0;DILTIAZEM CRISTERS 60 mg, comprimé
0;HUMEX ALLERGIE CETIRIZINE 10 mg, comprimé pelliculé sécable
0;TELMISARTAN SANDOZ 20 mg, comprimé
0;TARGOCID 400 mg, poudre et solvant pour solution injectable/pour perfusion ou solution buvable
0;SOTALOL ALMUS 80 mg, comprimé sécable
0;AMISULPRIDE EG 100 mg, comprimé sécable
0;APOKINON 30 mg/3 ml (1 %), solution injectable en stylo pré-rempli
0;LODINE 300 mg, comprimé pelliculé
0;SUSTIVA 100 mg, gélule
0;GRANIONS D'OR 0,2 mg/2 ml, solution buvable
0;CAPTOPRIL HYDROCHLOROTHIAZIDE MYLAN 50 mg/25 mg, comprimé sécable
0;EPLERENONE EG 25 mg, comprimé pelliculé
0;ALDURAZYME 100 U/ml, solution à diluer pour perfusion
0;IRBESARTAN EG 300 mg, comprimé pelliculé
0;PREGABALINE SANDOZ GMBH 50 mg, gélule
0;LOSARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 100 mg/12,5 mg, comprimé pelliculé
0;ACTIVOX EXPECTORANT LIERRE, sirop
1;PRAZOSINE BASE|5 mg;MINIPRESS 5 mg, comprimé sécable
0;OXCARBAZEPINE MYLAN 150 mg, comprimé pelliculé
1;OCTRÉOTIDE|50 microgrammes;SIROCTID 0,05 mg/ml, solution injectable ou solution à diluer pour perfusion en seringue préremplie
0;ARANESP 60 microgrammes, solution injectable en stylo prérempli
2;GLUCOSE ANHYDRE|120 g;LYSINE|3,3 g;AMINOMIX 500, solution pour perfusion
0;ANACARDIUM ORIENTALE BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;LERCANIDIPINE ZYDUS 10 mg, comprimé pelliculé sécable
0;DISCOTRINE 5 mg/24 heures, dispositif transdermique
1;GRANISÉTRON BASE|2,00 mg;KYTRIL 2 mg, comprimé pelliculé
0;IBUPROFENE MYLAN 200 mg, comprimé enrobé
0;ISUPREL 0,20 mg/1 ml, solution injectable en ampoule
1;DONÉPÉZIL BASE|4,56 mg;DONEPEZIL ARROW GENERIQUES 5 mg, comprimé pelliculé
1;RABÉPRAZOLE BASE|18,85 mg;RABEPRAZOLE CRISTERS 20 mg, comprimé gastro-résistant
0;SOTALOL CRISTERS 160 mg, comprimé sécable
0;GEMCITABINE ARROW 38 mg/ml, poudre pour solution pour perfusion
0;GAVISCON MENTHE, comprimé à croquer
1;BORTÉZOMIB|3,5 mg;VELCADE 3,5 mg, poudre pour solution injectable
1;PARÉCOXIB|40 mg;DYNASTAT 40 mg, poudre pour solution injectable
1;MAGNÉSIUM|1,896 g;MAGNESPASMYL 1,9 POUR CENT, granulés
1;PANTOPRAZOLE|40 mg;PANTOPRAZOLE SANDOZ 40 mg, comprimé gastro-résistant
0;VICKS TOUX SECHE DEXTROMETHORPHANE 7,33 mg ADULTES MIEL, pastille
0;HIDONAC 5 g/25 ml, solution injectable pour perfusion
0;XOLAIR 75 mg, solution injectable
0;THYROZOL 5 mg, comprimé pelliculé
0;RETACRIT 30000 UI/0,75 ml, solution injectable en seringue préremplie
0;CLARITHROMYCINE ARROW 500 mg, comprimé pelliculé à libération modifiée
0;TELMISARTAN/HYDROCHLOROTHIAZIDE ZENTIVA 40 mg/12,5 mg, comprimé
1;RIZATRIPTAN|10 mg;RIZATRIPTAN ARROW 10 mg, comprimé
0;ORAMORPH 20 mg/1 ml, solution buvable
0;CELECOXIB EG 200 mg, gélule
0;CARVEDILOL EG 25 mg, comprimé pelliculé sécable
0;PARACETAMOL ZYDUS 1 g, comprimé
0;NUROFEN 400 mg, capsule molle
1;TIMOLOL BASE|0,500 g;TIMOPTOL 0,50 %, collyre en solution
1;FENTANYL|400 microgrammes;ACTIQ 400 microgrammes, comprimé avec applicateur buccal
0;CAVERJECTDUAL 10 microgrammes/0,5 ml, poudre et solvant pour solution injectable en cartouche
0;PREGABALINE BIOGARAN 75 mg, gélule
0;DUTASTERIDE ZENTIVA LAB 0,5 mg, capsule molle
0;PARACETAMOL TEVA CONSEIL 500 mg, comprimé
0;TRAMADOL MYLAN PHARMA LP 150 mg, comprimé pelliculé à libération prolongée
0;NOVATREX 2,5 mg, comprimé
0;HELIANTHUS ANNUUS BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ACTIVOX, pommade
0;RAMIPRIL SANDOZ 5 mg, comprimé sécable
0;GELUCYSTINE 500 mg, gélule
1;MÉMANTINE|16,62 mg;MEMANTINE CRISTERS 20 mg, comprimé pelliculé
0;TARGRETIN 75 mg, capsule molle
0;BUDESONIDE EG 0,5 mg/2 ml, suspension pour inhalation par nébuliseur en récipient unidose
2;CLAVULANIQUE (ACIDE)|125 mg;AMOXICILLINE ANHYDRE|1000 mg;AMOXICILLINE/ACIDE CLAVULANIQUE CRISTERS 1 g/125 mg ADULTES, poudre pour suspension buvable en sachet-dose (rapport amoxicilline/acide clavulanique : 8/1)
0;TRACRIUM 25 mg/2,5 ml (1 POUR CENT), solution injectable en ampoule
1;TERBINAFINE|0,88 g;TERBINAFINE ARROW 1 %, crème
0;OXYGENE MEDICINAL SOGIG 200 bar, gaz pour inhalation, en bouteille
1;GALANTAMINE|16 mg;GALANTAMINE ARROW LP 16 mg, gélule à libération prolongée
0;LOSARTAN ACTAVIS 50 mg, comprimé pelliculé sécable
0;REPAGLINIDE SANDOZ 1 mg, comprimé
0;ROXITHROMYCINE MYLAN 150 mg, comprimé pelliculé
0;ZOVIRAX 800 mg/10 ml, suspension buvable en flacon
0;MILEVONI 150 microgrammes/30 microgrammes, comprimé enrobé
1;ATORVASTATINE|10 mg;ATORVASTATINE RATIO 10 mg, comprimé pelliculé
1;JOSAMYCINE BASE|1000,00 mg;JOSACINE 1000 mg, comprimé dispersible
1;DICLOFÉNAC|69,6 mg;VOLTARENE LP 75 mg, comprimé enrobé à libération prolongée
0;CYTARABINE EBEWE 50 mg/ml, solution injectable
1;AMLODIPINE|10 mg;AMLOR 10 mg, gélule
0;DESOMEDINE 0,1 %, collyre en solution
1;CÉLIPROLOL|200 mg;CELIPROLOL ARROW 200 mg, comprimé pelliculé
0;NORDIMET 20 mg, solution injectable en stylo prérempli
1;VENLAFAXINE|37,5 mg;VENLAFAXINE ZENTIVA LP 37,5 mg, gélule à libération prolongée
0;ROZAGEL, gel pour application locale
0;NICORANDIL MYLAN PHARMA 10 mg, comprimé sécable
0;AMMI VISNAGA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;BISOPROLOL/HYDROCHLOROTHIAZIDE SANDOZ 5 mg/6,25 mg, comprimé pelliculé
0;RISEDRONATE EVOLUGEN 35 mg, comprimé pelliculé
0;FUNGIZONE 10 POUR CENT, suspension buvable
0;FENOFIBRATE EG 160 mg, comprimé pelliculé
1;ESCITALOPRAM|20 mg;SEROPLEX 20 mg, comprimé pelliculé sécable
1;OXYCODONE|4,5 mg;OXYCONTIN L.P. 5 mg, comprimé pelliculé à libération prolongée
0;INTRALIPIDE 20 POUR CENT, émulsion pour perfusion
1;TERBINAFINE|10,00 mg;LAMISILATE MONODOSE 1%, solution pour application cutanée
1;RIVASTIGMINE|3 mg;RIVASTIGMINE EG 3 mg, gélule
0;HEPATOUM, solution buvable
0;SUSTIVA 30 mg/ml, solution buvable
0;LUTENYL, comprimé sécable
1;ADRÉNALINE|0,010 mg;DELTAZINE 40 mg/ml ADRENALINEE AU 1/100 000, solution injectable à usage dentaire
1;OCTRÉOTIDE|0,050 mg;SANDOSTATINE 50 microgrammes/1 mL, solution injectable/pour perfusion
1;DEXAMÉTHASONE (PHOSPHATE DE)|20 mg;DEXAMETHASONE MYLAN 20 mg/5 ml, solution injectable en ampoule
0;METRONIDAZOLE B BRAUN 0,5 %, solution pour perfusion
0;ARANESP 20 microgrammes, solution injectable en stylo prérempli
0;MELOXICAM ZENTIVA 15 mg, comprimé sécable
0;GEL RECTOPANBILINE, gel pour lavement rectal
1;FEXOFÉNADINE BASE|112 mg;FEXOFENADINE TEVA 120 mg, comprimé pelliculé
1;AMIFAMPRIDINE|10 mg;FIRDAPSE 10 mg, comprimé
1;BISMUTH|15 mg;BI-QUI-NOL ENFANTS, suppositoire
1;DICLOFÉNAC SODIQUE|1 g;VOLTARENE EMULGEL 1 %, gel en flacon pressurisé
0;MYCOSTER 10 mg/g, shampooing
0;ACICLOVIR ALMUS 200 mg, comprimé
0;REPAGLINIDE BIOGARAN 1 mg, comprimé sécable
1;ESCITALOPRAM|15 mg;ESCITALOPRAM ZYDUS 15 mg, comprimé pelliculé sécable
0;CUPRUM ACETICUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;TRANDOLAPRIL ARROW 2 mg, gélule
1;AMOXICILLINE ANHYDRE|1000 mg;AMODEX 1 g, comprimé dispersible
0;WYTENS 10 mg/6,25 mg, comprimé pelliculé
0;PRUNUS SPINOSA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;ATORVASTATINE|20 mg;ATORVASTATINE RPG 20 mg, comprimé pelliculé
0;GLIMEPIRIDE ZYDUS 3 mg, comprimé
0;GESTODENE/ETHINYLESTRADIOL CRISTERS 60 microgrammes/15 microgrammes, comprimé pelliculé
0;ANTARENE 100 mg, comprimé pelliculé
1;DESMOPRESSINE|120 microgrammes;MINIRINMELT 120 microgrammes, lyophilisat oral
0;REPAGLINIDE ZENTIVA 0,5 mg, comprimé
1;CALCIUM ÉLÉMENT|182,93 mg;CHLORURE DE CALCIUM 10 POUR CENT (1 g/10 ml) RENAUDIN, solution injectable en ampoule
1;BROMURE D'IPRATROPIUM ANHYDRE|0,5 mg;IPRATROGEN 0,5 mg/2 ml ADULTES, solution pour inhalation par nébuliseur en récipient unidose
0;FIASP 100 unités/ml, solution injectable en cartouche
1;ESCITALOPRAM|15 mg;ESCITALOPRAM KRKA 15 mg, comprimé pelliculé
1;LEUPRORÉLINE|5 mg;LEPTOPROL 5 mg, implant en seringue pré-remplie
1;CINACALCET|90 mg;MIMPARA 90 mg, comprimé pelliculé
1;HEXYL AMINOLÉVULINATE|85 mg;HEXVIX 85 mg, poudre et solvant pour solution intravésicale
0;TOPIRAMATE ARROW GENERIQUES 100 mg, comprimé pelliculé
0;TRAMADOL ZYDUS L.P. 200 mg, comprimé pelliculé à libération prolongée
0;ATENOLOL SANDOZ 50 mg, comprimé pelliculé sécable
0;ULTRAPROCT, suppositoire
0;PREGABALINE BIOGARAN 100 mg, gélule
0;ASMELOR NOVOLIZER 12 microgrammes/dose, poudre pour inhalation
0;RHOPHYLAC 300 microgrammes/2 ml, solution injectable en seringue préremplie
0;DESFERAL 2 g, poudre et solvant pour solution injectable
0;INSPRA 25 mg, comprimé pelliculé
1;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE ZYDUS 500 mg, gélule
0;BENEPALI 50 mg, solution injectable en stylo prérempli
0;CALADIUM SEGUINUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
2;CLAVULANIQUE (ACIDE)|50 mg;AMOXICILLINE ANHYDRE|500 mg;AMOXICILLINE/ACIDE CLAVULANIQUE MYLAN 500 mg/50 mg, poudre pour solution injectable / pour perfusion (IV)
1;PÉRINDOPRIL|3,408 mg;PERINDOPRIL TOSILATE TEVA 5 mg, comprimé pelliculé sécable
1;PÉRINDOPRIL|6,79 mg;BIPRETERAX 10 mg/2,5 mg, comprimé pelliculé
0;KALIUM MURIATICUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
1;BROMURE D'IPRATROPIUM ANHYDRE|0,25 mg;IPRATROPIUM AGUETTANT ENFANT 0,25 mg/1 ml, solution pour inhalation par nébuliseur en récipient unidose
0;IRBESARTAN HYDROCHLOROTHIAZIDE ZENTIVA 300 mg/25 mg, comprimé pelliculé
0;VALSARTAN CRISTERS 80 mg, comprimé pelliculé sécable
0;ARKOGELULES MILLEPERTUIS, gélule
0;ABIES NIGRA BOIRON, degré de dilution compris entre 2CH à 30CH et 4DH à 60DH
0;IRBESARTAN HYDROCHLOROTHIAZIDE TEVA 150 mg/12,5 mg, comprimé pelliculé
0;FOSINOPRIL ARROW 20 mg, comprimé
0;AGARICUS BULBOSUS WELEDA, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
0;VALSARTAN KRKA 160 mg, comprimé pelliculé sécable
0;PANSORAL, gel pour application buccale
0;FRAXODI 15 200 UI Axa/0,8 ml, solution injectable (S.C.) en seringue pré-remplie
0;PIRACETAM SANDOZ 20 POUR CENT, solution buvable
0;LEVETIRACETAM BIOGARAN 250 mg, comprimé pelliculé sécable
0;LUTATHERA 370 MBq/ml, solution pour perfusion
0;VALSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA 160 mg/25 mg, comprimé pelliculé
0;AFSTYLA 500 UI, poudre et solvant pour solution injectable
1;ACIDE ALENDRONIQUE|70 mg;ACIDE ALENDRONIQUE RATIOPHARM 70 mg, comprimé
0;SOLIAN 100 mg, comprimé sécable
1;PREDNISOLONE|20 mg;PREDNISOLONE SANDOZ 20 mg, comprimé orodispersible
0;STERILENE à 0,5 POUR CENT, solution pour application locale
0;FINASTERIDE CRISTERS 5 mg, comprimé pelliculé
1;SALBUTAMOL|0,5 mg;SALBUTAMOL RENAUDIN 0,5 mg/1 ml, solution injectable par voie sous-cutanée en ampoule
0;DIFFERINE 0,1 %, gel
0;PEGASYS 180 microgrammes, solution injectable en stylo prérempli
0;AMISULPRIDE MYLAN 400 mg, comprimé pelliculé sécable
1;METFORMINE BASE|780 mg;METFORMINE MYLAN PHARMA 1000 mg, comprimé pelliculé sécable
0;ACONITUM NAPELLUS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
0;ASCLEPIAS VINCETOXICUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
0;LYSODREN 500 mg, comprimé
0;PREDNISONE RATIOPHARM 5 mg, comprimé sécable
0;IRBESARTAN ZENTIVA 75 mg, comprimé pelliculé
0;NORDIMET 15 mg, solution injectable en stylo prérempli
0;PENICILLINE G PANPHARMA 1 000 000 UI, poudre pour usage parentéral
1;MICAFUNGINE|100 mg;MYCAMINE 100 mg, poudre pour solution pour perfusion
0;HOMEOMUNYL, granules en récipient unidose
0;FLAGYL 250 mg, comprimé pelliculé
