crème;5;DULCAMARA POUR PRÉPARATIONS HOMÉOPATHIQUES;SULFUR POUR PRÉPARATIONS HOMÉOPATHIQUES;ARNICA MONTANA POUR PRÉPARATIONS HOMÉOPATHIQUES;SANGUINARIA CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;RHUS TOXICODENDRON POUR PRÉPARATIONS HOMÉOPATHIQUES;ZEEL, crème
solution injectable pour perfusion;1;ACÉTATE D'OCTRÉOTIDE;SANDOSTATINE 50 microgrammes/1 mL, solution injectable/pour perfusion
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;FUMARATE DE BISOPROLOL;BISOPROLOL/HYDROCHLOROTHIAZIDE MYLAN PHARMA 2,5 mg/6,25 mg, comprimé pelliculé
comprimé dispersible sécable;1;BÉTAMÉTHASONE;CELESTENE 2 mg, comprimé dispersible sécable
dispositif;1;FENTANYL;FENTANYL BGR 25 microgrammes/heure, dispositif transdermique
comprimé gastro-résistant(e);1;RABÉPRAZOLE SODIQUE;RABEPRAZOLE BIOGARAN 10 mg, comprimé gastro-résistant
solution injectable;1;INSULINE GLULISINE ;APIDRA SOLOSTAR 100 unités/ml, solution injectable en stylo prérempli
comprimé sécable;1;PRIMIDONE;MYSOLINE 250 mg, comprimé sécable
comprimé;2;NORGESTIMATE;ÉTHINYLESTRADIOL;FEMI, comprimé
poudre;3;SILICE COLLOÏDALE HYDRATÉE;PECTINE;CELLULOSE MICROCRISTALLINE;GELOPECTOSE, poudre orale en boîte
crème;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE BIOGARAN 1 %, crème
gélule;1;MILLEPERTUIS (SOMMITÉ FLEURIE) (EXTRAIT SEC DE);ARKOGELULES MILLEPERTUIS, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;CLEMATIS VITALBA POUR PRÉPARATIONS HOMÉOPATHIQUES;CLEMATIS VITALBA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;MALATE DE SUNITINIB;SUTENT 50 mg, gélule
comprimé pelliculé;1;CHLORHYDRATE D'IVABRADINE;IVABRADINE EG 7,5 mg, comprimé pelliculé
solution buvable;1;CARBOCISTÉINE;CARBOCISTEINE UPSA 5% ADULTES SANS SUCRE, solution buvable édulcorée à la saccharine sodique et au maltitol liquide
suspension pour inhalation par nébuliseur;1;DIPROPIONATE DE BÉCLOMÉTASONE;BECLOMETASONE TEVA 400 microgrammes/ 1 ml, suspension pour inhalation par nébuliseur en récipient unidose
poudre pour solution injectable;1;CHLORHYDRATE DE VANCOMYCINE;VANCOMYCINE KABI 500 mg, poudre pour solution injectable
comprimé pelliculé;1;ACIDE OBÉTICHOLIQUE;OCALIVA 5 mg, comprimé
suspension buvable;2;ALGINATE DE SODIUM;BICARBONATE DE SODIUM;ALGINATE DE SODIUM / BICARBONATE DE SODIUM SANDOZ 250 mg/133,5 mg pour 5 ml, suspension buvable en flacon
solution injectable;1;DIAZÉPAM;DIAZEPAM RENAUDIN 10 mg/2 ml, solution injectable
gélule gastro-résistant(e);1;OMÉPRAZOLE;OMEPRAZOLE ARROW GENERIQUES 20 mg, gélule gastro-résistante
 comprimé et solution(s) et granules et poudre et pommade;1;HYDRASTIS CANADENSIS POUR PRÉPARATIONS HOMÉOPATHIQUES;HYDRASTIS CANADENSIS LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;ALTRÉTAMINE;HEXASTAT, gélule
gélule;1;GATTILIER (FRUIT DE) (EXTRAIT SEC DE);ELUSANES GATTILIER 4,7 mg, gélule
comprimé;1;BUMÉTANIDE;BURINEX 5 mg, comprimé
comprimé pelliculé;1;ÉPLÉRÉNONE;EPLERENONE SANDOZ 25 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;CASCARA SAGRADA POUR PRÉPARATIONS HOMÉOPATHIQUES;CASCARA SAGRADA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
granulés pour sirop;2;ACÉTYL SULFAFURAZOL;ÉRYTHROMYCINE (ÉTHYLSUCCINATE D');PEDIAZOLE, granulés pour sirop en flacon
comprimé pelliculé;1;IBUPROFÈNE;IBUPROFENE ZENTIVA CONSEIL 200 mg, comprimé pelliculé
suspension injectable;4;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 16 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 6 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 18 ;PROTÉINE L1 RECOMBINANTE ADSORBÉE DU VIRUS HUMAIN PAPILLOMAVIRUS HPV TYPE 11 ;GARDASIL, suspension injectable en seringue préremplie. Vaccin Papillomavirus Humain [Types 6, 11, 16, 18] (Recombinant, adsorbé)
solution pour inhalation par fumigation;5;EUCALYPTUS (TEINTURE D');BAUME DU PÉROU;LAVANDE (ESSENCE DE);THYM (HUILE ESSENTIELLE DE);BENJOIN (TEINTURE DE);BALSOFUMINE SIMPLE, solution pour inhalation par fumigation
solution pour gargarisme ou pour bain de bouche;1;POVIDONE IODÉE;BETADINE 10 POUR CENT, solution pour gargarisme ou solution pour bain de bouche en récipient unidose
solution injectable;1;IMMUNOGLOBULINE HUMAINE ANTI-D ;RHOPHYLAC 300 microgrammes/2 ml, solution injectable en seringue préremplie
crème;1;CHLORHYDRATE DE LIDOCAÏNE;DYNEXAN 2 %, crème buccale
granulés;3;UVA URSI POUR PRÉPARATIONS HOMÉOPATHIQUES;URTICA URENS POUR PRÉPARATIONS HOMÉOPATHIQUES;EQUISETUM HIEMALE POUR PRÉPARATIONS HOMÉOPATHIQUES;HOMEOCYST, granules
 comprimé et solution(s) et granules et poudre et pommade;1;BARYTA CARBONICA POUR PRÉPARATIONS HOMÉOPATHIQUES;BARYTA CARBONICA BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 5DH et 60DH
comprimé;1;MÉLOXICAM;MELOXICAM EG 7,5 mg, comprimé
granules et  poudre et  solution en gouttes en gouttes;1;MERCURIUS DULCIS POUR PRÉPARATIONS HOMÉOPATHIQUES;MERCURIUS DULCIS WELEDA, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
granules et  crème et  solution en gouttes en gouttes;1;BRYONIA POUR PRÉPARATIONS HOMÉOPATHIQUES;BRYONIA WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE RANBAXY 1 mg, comprimé
générateur radiopharmaceutique;1;RUBIDIUM [81 RB] (CHLORURE DE);KRYPTOSCAN, générateur de rubidium [81 Rb]/ krypton [81m Kr] pour l'élution par l'air
poudre pour suspension buvable;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE ACIDE CLAVULANIQUE ALMUS 100 mg/12,5 mg par ml NOURRISSONS, poudre pour suspension buvable (rapport amoxicilline/acide clavulanique : 8/1)
comprimé pelliculé;2;CHLORHYDRATE DE SAXAGLIPTINE;CHLORHYDRATE DE METFORMINE;KOMBOGLYZE 2,5 mg/1000 mg, comprimé pelliculé
comprimé;1;FUMARATE DE BISOPROLOL;BISOPROLOL TEVA SANTE 3,75 mg, comprimé
 comprimé et solution(s) et granules et poudre et pommade;1;BELLADONA POUR PRÉPARATIONS HOMÉOPATHIQUES;BELLADONNA LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE ZYDUS 10 mg, comprimé pelliculé sécable
solution injectable;1;SOMATROPINE ;NUTROPINAQ 10 mg/2 ml (30 UI), solution injectable
solution injectable;1;CHLORHYDRATE D'ONDANSÉTRON DIHYDRATÉ;ZOPHREN 2 mg/ml, solution injectable en ampoule (I.V.)
granulés;3;MALÉATE DE PHÉNIRAMINE;ACIDE ASCORBIQUE;PARACÉTAMOL;FERVEX ENFANTS SANS SUCRE, granulés pour solution buvable en sachet
comprimé;1;FLUORURE DE SODIUM;ZYMAFLUOR 1 mg, comprimé
comprimé pelliculé;1;ZOFÉNOPRIL CALCIQUE;ZOFENIL 30 mg, comprimé pelliculé
comprimé effervescent(e);3;CASSIS (SUC DE);ACIDE ASCORBIQUE;PETIT HOUX (EXTRAIT SEC DE);VEINOBIASE, comprimé effervescent
comprimé pelliculé sécable;1;RISPÉRIDONE;RISPERIDONE RANBAXY 2 mg, comprimé pelliculé sécable
granules et  crème et  solution en gouttes en gouttes;1;ABROTANUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ABROTANUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;HÉMIFUMARATE D'ALISKIRÈNE;RASILEZ HCT 300 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé;1;ATORVASTATINE CALCIQUE;ATORVASTATINE RATIO 80 mg, comprimé pelliculé
solution injectable;1;SOMATROPINE ;OMNITROPE 10 mg/1,5 ml, solution injectable
gel pour application;1;CHLORHYDRATE DE PRAMOCAÏNE;TRONOTHANE 1 POUR CENT, gel pour application locale
 comprimé et solution(s) et granules et poudre et pommade;1;GINKGO BILOBA POUR PRÉPARATIONS HOMÉOPATHIQUES;GINKGO BILOBA BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé sécable;1;ZOPICLONE;ZOPICLONE CRISTERS 7,5 mg, comprimé pelliculé sécable
comprimé sécable;1;ACÉTATE DE CYPROTÉRONE;ANDROCUR 50 mg, comprimé sécable
comprimé;1;ACARBOSE;ACARBOSE SANDOZ 50 mg, comprimé
émulsion pour application;1;TROLAMINE;BIAFINEACT, émulsion pour application cutanée
comprimé pelliculé;1;DÉSOGESTREL;OPTIMIZETTE 75 microgrammes, comprimé pelliculé
comprimé effervescent(e);1;CHLORHYDRATE DE TRAMADOL;BIODALGIC 50 mg, comprimé effervescent
comprimé pelliculé;1;BÉSILATE DE CLOPIDOGREL;CLOPIDOGREL EG 75 mg, comprimé pelliculé
poudre et  solvant pour préparation injectable;1;THIAMPHÉNICOL;THIOPHENICOL 750 mg, poudre et solvant pour préparation injectable
comprimé enrobé;1;IBUPROFÈNE;ADVILMED 400 mg, comprimé enrobé
capsule molle;1;LÉVOTHYROXINE SODIQUE;TCAPS 100 microgrammes, capsule molle
comprimé pelliculé;1;ROXITHROMYCINE;CLARAMID 150 mg, comprimé pelliculé
comprimé;1;ALLOPURINOL;ALLOPURINOL CRISTERS 100 mg, comprimé
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;EXELON 6 mg, gélule
comprimé pelliculé;1;TADALAFIL;TADALAFIL BIOGARAN 5 mg, comprimé pelliculé
comprimé orodispersible;1;OLANZAPINE;OLANZAPINE RATIOPHARM 10 mg, comprimé orodispersible
poudre pour solution pour perfusion;1;CÉFUROXIME SODIQUE;CEFUROXIME KABI 1500 mg, poudre pour solution pour perfusion
comprimé;1;PRAVASTATINE SODIQUE;PRAVASTATINE GERDA 20 mg, comprimé
comprimé pelliculé;1;BICALUTAMIDE;BICALUTAMIDE ALMUS 50 mg, comprimé pelliculé
implant;1;ACÉTATE DE LEUPRORÉLINE;LEPTOPROL 5 mg, implant en seringue pré-remplie
comprimé pelliculé et  comprimé pelliculé pelliculé;2;ÉTHINYLESTRADIOL BÉTADEX-CLATHRATE;DROSPIRÉNONE;RIMENDIA 0,02 mg/3 mg, comprimé pelliculé
gel;1;SODIUM (DOCUSATE DE);NORGALAX, gel rectal en récipient unidose
comprimé pelliculé;1;ATORVASTATINE CALCIQUE TRIHYDRATÉE;ATORVASTATINE ZENTIVA LAB 80 mg, comprimé pelliculé
comprimé pelliculé;1;OXALATE D'ESCITALOPRAM;ESCITALOPRAM ALMUS 5 mg, comprimé pelliculé
comprimé dispersible sécable;1;CHLORHYDRATE DE FLUOXÉTINE;FLUOXETINE BIOGARAN 20 mg, comprimé dispersible sécable
comprimé sécable;2;HYDROCHLOROTHIAZIDE;FOSINOPRIL SODIQUE;FOSINOPRIL HYDROCHLOROTHIAZIDE EG 20 mg/12,5 mg, comprimé sécable
granulés et  granulés pour solution buvable;6;LEUCINE;CHLORHYDRATE DE LYSINE;ASPARTATE DE MAGNÉSIUM DIHYDRATÉ;ACIDE ASCORBIQUE;VALINE;PHÉNYLALANINE;REVITALOSE, granulés pour solution buvable en sachet-dose
 comprimé et solution(s) et granules et poudre et pommade;1;CADMIUM SULFURICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;CADMIUM SULFURICUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 8DH et 60DH
comprimé enrobé;1;IBUPROFÈNE;IBUPROFENE ARROW 200 mg, comprimé enrobé
comprimé pelliculé sécable;1;CHLORHYDRATE DE PAROXÉTINE ANHYDRE;PAROXETINE MYLAN 20 mg, comprimé pelliculé sécable
capsule molle;1;ALITRÉTINOÏNE;TOCTINO 10 mg, capsule molle
comprimé sécable;1;IODURE DE POTASSIUM;IODURE DE POTASSIUM PHARMACIE CENTRALE DES ARMEES 65 mg, comprimé sécable
comprimé pelliculé;1;IRBÉSARTAN;IRBESARTAN SANDOZ 75 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;VINCA MINOR POUR PRÉPARATIONS HOMÉOPATHIQUES;VINCA MINOR LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;2;HYDROCHLOROTHIAZIDE;LOSARTAN POTASSIQUE;LOSARTAN/HYDROCHLOROTHIAZIDE ISOMED 100 mg/12,5 mg, comprimé pelliculé
comprimé pelliculé sécable;1;OFLOXACINE;OFLOXACINE CRISTERS 200 mg, comprimé pelliculé sécable
suppositoire;1;PARACÉTAMOL;EFFERALGANMED 300 mg, suppositoire
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE ALMUS 30 mg, gélule gastro-résistante
comprimé pelliculé;1;RISPÉRIDONE;RISPERIDONE ALTER 4 mg, comprimé pelliculé
comprimé gastro-résistant(e);1;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;PANTOPRAZOLE ARROW CONSEIL 20 mg, comprimé gastro-résistant
granules et  solution en gouttes en gouttes;1;AGARICUS MUSCARIUS POUR PRÉPARATIONS HOMÉOPATHIQUES;AGARICUS MUSCARIUS WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
gélule;1;FÉNOFIBRATE;FENOFIBRATE RATIOPHARM 300 mg, gélule
comprimé pelliculé;2;ATOVAQUONE;CHLORHYDRATE DE PROGUANIL;ATOVAQUONE/PROGUANIL TEVA 62,5 mg/25 mg ENFANTS, comprimé pelliculé
dispositif;1;ESTRADIOL;DERMESTRIL 50 microgrammes/24 heures, dispositif transdermique
granulés;3;VIOLA ODORATA POUR PRÉPARATIONS HOMÉOPATHIQUES;VERBASCUM THAPSUS POUR PRÉPARATIONS HOMÉOPATHIQUES;MENTHA PIPERITA POUR PRÉPARATIONS HOMÉOPATHIQUES;HOMEOQUINTYL, granules
poudre et  solvant pour suspension injectable à libération prolongée;1;ACÉTATE DE TRIPTORÉLINE;GONAPEPTYL 3,75 mg, poudre et solvant pour suspension injectable à libération prolongée en seringues pré-remplies
comprimé pelliculé;2;DROSPIRÉNONE;ÉTHINYLESTRADIOL;ETHINYLESTRADIOL/DROSPIRENONE CRISTERS 0,03 mg/3 mg, comprimé pelliculé
gélule;2;CHLORHYDRATE DE TAMSULOSINE;DUTASTÉRIDE;COMBODART 0,5 mg/0,4 mg, gélule
solution pour application;3;ALCOOL ISOPROPYLIQUE;ÉTILSULFATE DE MÉCÉTRONIUM;ALCOOL PROPYLIQUE;STERILLIUM, solution pour application locale en flacon
comprimé sécable;1;RAMIPRIL;TRIATEC 10 mg, comprimé sécable
solution injectable;1;SOMATROPINE ;SAIZEN 5,83 mg/ml, solution injectable
comprimé pelliculé;1;ATORVASTATINE CALCIQUE TRIHYDRATÉE;ATORVASTATINE PFIZER 20 mg, comprimé pelliculé
comprimé;1;FÉNOFIBRATE;FENOFIBRATE SANDOZ 145 mg, comprimé
solution buvable;6;ACIDE GLUTAMIQUE;ACIDE PHOSPHORIQUE CONCENTRÉ;PHOSPHATE MONOSODIQUE DIHYDRATÉ;CHLORURE DE MAGNÉSIUM HEXAHYDRATÉ;PHOSPHATE MONOCALCIQUE MONOHYDRATÉ;MANGANÈSE (CHLORURE DE);NEUROSTHENOL, solution buvable
collyre;1;KÉTOROLAC TROMÉTAMOL;ACULAR 0,5 %, collyre en solution
comprimé enrobé;1;TIANEPTINE SODIQUE;TIANEPTINE MYLAN PHARMA 12,5 mg, comprimé enrobé
comprimé enrobé;2;MYRTILLE (FRUIT DE) (EXTRAIT SEC DE);ACÉTATE D'ALPHA-TOCOPHÉROL;DIFRAREL E, comprimé enrobé
gélule;1;SULFATE D'ISAVUCONAZONIUM;CRESEMBA 100 mg, gélule
solution injectable ou pour perfusion;1;IOVERSOL;OPTIJECT 350 mg d'I/mL, solution injectable ou pour perfusion
comprimé pelliculé;1;CLARITHROMYCINE;ZECLAR 250 mg, comprimé pelliculé
poudre pour solution injectable ou pour perfusion;1;MÉROPÉNEM TRIHYDRATÉ;PONAXEM 1 g, poudre pour solution injectable ou pour perfusion
comprimé pelliculé à libération prolongée;1;FLUVASTATINE SODIQUE;FLUVASTATINE RATIOPHARM L.P. 80 mg, comprimé pelliculé à libération prolongée
suspension à diluer pour perfusion;1;AMPHOTÉRICINE B;ABELCET 5 mg/ml, suspension à diluer pour perfusion
solution pour application;1;ÉRYTHROMYCINE;ERYTHROMYCINE BAILLEUL 4 %, solution pour application cutanée
comprimé pelliculé;1;ALENDRONATE MONOSODIQUE TRIHYDRATÉ;ACIDE ALENDRONIQUE ALTER 70 mg, comprimé pelliculé
 comprimé et solution(s) et granules et poudre et pommade;1;MANGANUM ACETICUM POUR PRÉPARATIONS HOMÉOPATHIQUES;MANGANUM ACETICUM LEHNING, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé pelliculé;1;DESLORATADINE;DESLORATADINE EVOLUGEN 5 mg, comprimé pelliculé
gélule;1;CÉLÉCOXIB;CELECOXIB SANDOZ 100 mg, gélule
gélule;1;CHLORHYDRATE DE MÉTHADONE;METHADONE AP-HP 1 mg, gélule
comprimé pelliculé sécable;1;SPIRONOLACTONE;SPIRONOLACTONE ARROW 25 mg, comprimé pelliculé sécable
solution injectable;1;CYTARABINE;CYTARABINE EBEWE 50 mg/ml, solution injectable
 comprimé et solution(s) et granules et poudre et pommade;1;ACETANILIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ACETANILIDUM BOIRON, degré de dilution compris entre 3CH et 30CH ou entre 6DH et 60DH
comprimé pelliculé sécable;1;CHLORHYDRATE DE LERCANIDIPINE;LERCANIDIPINE TEVA 10 mg, comprimé pelliculé sécable
comprimé enrobé;1;TIANEPTINE SODIQUE;TIANEPTINE BIOGARAN 12,5 mg, comprimé enrobé
comprimé;1;ARIPIPRAZOLE;ABILIFY 10 mg, comprimé
solution injectable;1;GLUCOSE MONOHYDRATÉ;GLUCOSE RENAUDIN 5 %, solution injectable
comprimé quadrisécable;1;CHLORHYDRATE DE NÉBIVOLOL;NEBIVOLOL TEVA SANTE 5 mg, comprimé quadrisécable
ovule à libération prolongée;1;NITRATE D'ÉCONAZOLE;ECONAZOLE RATIOPHARM L.P. 150 mg, ovule à libération prolongée
gélule;1;OXALATE ACIDE DE NAFTIDROFURYL;NAFTIDROFURYL MYLAN 100 mg, gélule
poudre pour préparation injectable;1;STREPTOMYCINE (SULFATE DE);STREPTOMYCINE PANPHARMA 1 g, poudre pour préparation injectable
solution injectable;1;CHLORHYDRATE D'APOMORPHINE;APOKINON 30 mg/3 ml (1 %), solution injectable en stylo pré-rempli
comprimé;1;PROPYLTHIOURACILE;PROPYLEX 50 mg, comprimé
comprimé dispersible et orodispersible;1;PHLOROGLUCINOL HYDRATÉ;PHLOROGLUCINOL BIOGARAN 80 mg, comprimé orodispersible
solution à diluer pour perfusion;1;DOCÉTAXEL;DOCETAXEL ARROW 20 mg/ml, solution à diluer pour perfusion
gélule;1;SULPIRIDE;SYNEDIL 50 mg, gélule
solution à diluer pour perfusion;1;CHLORURE DE SODIUM;CHLORURE DE SODIUM PROAMP 0,20 g/ml (20%), solution à diluer pour perfusion
granulés pour suspension buvable;1;CEFPODOXIME PROXÉTIL;CEFPODOXIME ZENTIVA ENFANTS ET NOURRISSONS 40 mg/5 ml, granulés pour suspension buvable
gélule;1;CHLORHYDRATE DE FLUOXÉTINE;PROZAC 20 mg, gélule
sirop;1;CHLORHYDRATE DE FENSPIRIDE;PNEUMOREL 0,2 POUR CENT, sirop
lyophilisat et  solution pour usage parentéral;1;MÉTHYLPREDNISOLONE (HÉMISUCCINATE DE);SOLUMEDROL 40 mg/2 ml, lyophilisat et solution pour usage parentéral
collyre en suspension;1;BRINZOLAMIDE;BRINZOLAMIDE BIOGARAN 10 mg/ml, collyre en suspension
gélule;1;ACÉTATE D'ALPHA-TOCOPHÉROL;TOCOPA, gélule
solution injectable;1;ÉPOÉTINE ZÊTA ;RETACRIT 40000 UI/1 ml, solution injectable en seringue préremplie
 comprimé et solution(s) et granules et poudre et pommade;1;ANTIMONIUM CRUDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;ANTIMONIUM CRUDUM BOIRON, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
comprimé;1;ACIDE-D-(MÉTHOXY-6 ALPHA-MÉTHYL NAPHTALÈNEACÉTIQUE-2);APRANAX 750 mg, comprimé
comprimé orodispersible;1;OLANZAPINE;ZYPREXA VELOTAB 15 mg, comprimé orodispersible
gélule;1;NIFUROXAZIDE;NIFUROXAZIDE ZYDUS 200 mg, gélule
 comprimé et solution(s) et granules et poudre et pommade;1;AURUM IODATUM POUR PRÉPARATIONS HOMÉOPATHIQUES;AURUM IODATUM BOIRON, degré de dilution compris entre 4CH et 30CH ou entre 7DH et 60DH
comprimé;1;GLIMÉPIRIDE;GLIMEPIRIDE TEVA SANTE 4 mg, comprimé
granules et  poudre et  solution en gouttes en gouttes;1;NITRICUM ACIDUM POUR PRÉPARATIONS HOMÉOPATHIQUES;NITRICUM ACIDUM WELEDA, degré de dilution compris entre 2CH et 30CH ou entre 4DH et 60DH
pâte dentifrice;3;DOMIFÈNE (BROMURE DE);CHLORURE DE SODIUM;FLUORURE DE SODIUM;FLUOSELGINE, pâte dentifrice
comprimé pelliculé;1;ATORVASTATINE CALCIQUE;ATORVASTATINE ZYDUS FRANCE 40 mg, comprimé pelliculé
comprimé pelliculé;1;CHLORHYDRATE DE METFORMINE;METFORMINE ALTER 850 mg, comprimé pelliculé
capsule molle;1;ISOTRÉTINOÏNE;ACNETRAIT 5 mg, capsule molle
poudre pour inhalation;1;XINAFOATE DE SALMÉTÉROL;SEREVENT DISKUS 50 microgrammes par dose, poudre pour inhalation
comprimé pelliculé sécable;1;SIMVASTATINE;SIMVASTATINE RATIOPHARM 20 mg, comprimé pelliculé sécable
comprimé pelliculé sécable;1;SIMVASTATINE;SIMVASTATINE EVOLUGEN 20 mg, comprimé pelliculé sécable
gélule gastro-résistant(e);1;LANSOPRAZOLE;LANSOPRAZOLE ZYDUS 30 mg, gélule gastro-résistante
comprimé gastro-résistant(e);1;PANTOPRAZOLE SODIQUE SESQUIHYDRATÉ;PANTOPRAZOLE RANBAXY 20 mg, comprimé gastro-résistant
comprimé pelliculé;1;CITRATE DE SILDÉNAFIL;REVATIO 20 mg, comprimé pelliculé
dispositif;1;TRINITRINE;TRINIPATCH 5 mg/24 heures, dispositif transdermique (22,4 mg / 7 cm²)
comprimé pelliculé;1;IBUPROFÈNE;ANTARENE 400 mg, comprimé pelliculé
poudre pour solution injectable;1;SUCCIMER;TECHNESCAN DMSA, poudre pour solution injectable. Trousse pour la préparation de la solution injectable de succimère de technétium [99mTc]
comprimé pelliculé sécable;1;CHLORHYDRATE DE LOMÉFLOXACINE;LOGIFLOX 400 mg, comprimé pelliculé sécable
solution injectable;1;IODURE (123I) DE SODIUM;IODURE(123I) de sodium GE Healthcare, solution injectable
lyophilisat;1;DESMOPRESSINE (ACÉTATE DE) TRIHYDRATÉ;MINIRINMELT 120 microgrammes, lyophilisat oral
comprimé enrobé;2;AUBÉPINE (SOMMITÉ FLEURIE D') (EXTRAIT SEC DE);QUININE (BENZOATE DE);OKIMUS, comprimé enrobé
comprimé sécable;1;CHLORHYDRATE DE BAMBUTÉROL;OXEOL 10 mg, comprimé sécable
comprimé enrobé;1;ANÉTHOLTRITHIONE;SULFARLEM S 25 mg, comprimé enrobé
comprimé pelliculé;1;OLANZAPINE;OLANZAPINE MYLAN 10 mg, comprimé pelliculé
solution injectable;1;BUPIVACAÏNE (CHLORHYDRATE DE) MONOHYDRATÉ;BUPIVACAINE POUR RACHIANESTHESIE AGUETTANT 5 mg/ ml, solution injectable (voie intrarachidienne)
comprimé à libération prolongée;1;CHLORHYDRATE DE TRAMADOL;TRAMADOL RANBAXY L.P. 200 mg, comprimé à libération prolongée
solution buvable;3;MANGANÈSE (GLUCONATE DE);CUIVRE (GLUCONATE DE);OR COLLOÏDAL;OLIGOCURE, solution buvable
dispositif;1;TRINITRINE;TRINITRINE MYLAN 5 mg/24 heures, dispositif transdermique
gélule;1;FÉNOFIBRATE;FENOFIBRATE ZENTIVA 200 mg, gélule
solution pour application;1;SODIUM (HYPOCHLORITE DE), SOLUTION D';DAKIN COOPER STABILISE, solution pour application locale en flacon
comprimé enrobé;2;RUTOSIDE;MÉLILOT (EXTRAIT SEC DE);ESBERIVEN FORT, comprimé enrobé
comprimé sécable;1;LISINOPRIL DIHYDRATÉ;LISINOPRIL ZENTIVA 20 mg, comprimé sécable
comprimé pelliculé;1;CHLORHYDRATE DE ROPINIROLE;ROPINIROLE TEVA 5 mg, comprimé pelliculé
comprimé à croquer;1;CARBONATE DE LANTHANE HYDRATÉ;FOSRENOL 750 mg, comprimé à croquer
pommade;1;MUPIROCINE;MUPIROCINE SANDOZ 2 %, pommade
comprimé pelliculé;1;CHLORHYDRATE DE CIPROFLOXACINE;CIPROFLOXACINE EVOLUGEN 500 mg, comprimé pelliculé
solution à diluer pour perfusion;1;IRINOTÉCAN (CHLORHYDRATE D') TRIHYDRATÉ;IRINOTECAN EBEWE 20 mg/ml, solution à diluer pour perfusion
comprimé;1;ACÉTATE DE CHLORMADINONE;LUTERAN 10 mg, comprimé
poudre et  solvant pour suspension injectable;1;PAMOATE DE PASIRÉOTIDE;SIGNIFOR 40 mg, poudre et solvant pour suspension injectable
poudre pour suspension buvable;1;AMOXICILLINE TRIHYDRATÉE;AMOXICILLINE EG 250 mg/5 ml, poudre pour suspension buvable
poudre pour suspension buvable;2;AMOXICILLINE TRIHYDRATÉE;CLAVULANATE DE POTASSIUM;AMOXICILLINE/ACIDE CLAVULANIQUE ZENTIVA K.S 100 mg/12,5 mg par ml ENFANTS, poudre pour suspension buvable en flacon (rapport amoxicilline/acide clavulanique: 8/1)
gélule;1;HYDROGÉNOTARTRATE DE RIVASTIGMINE;RIVASTIGMINE MYLAN 4,5 mg, gélule
crème;1;CHLORHYDRATE DE TERBINAFINE;TERBINAFINE MYLAN 1%, crème
crème;1;ACICLOVIR;ACICLOVIR ALMUS 5 %, crème
